id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
JO-AM,الأردن,العاصمة (عمّان),—,عمّان,—,عمّان,عمان/فيلادلفيا/محافظة العاصمة,محافظة+مدينة+عاصمة,31.9454,35.9283,770,4834000,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الوسط؛ ~42% من السكان؛ مساحة شائعة 7579 كم² (جداول أخرى 8231) 🟡
JO-IR,الأردن,إربد,—,إربد,—,إربد,عروس الشمال,محافظة+مدينة,32.5556,35.8500,620,2135000,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الشمال؛ 9 ألوية؛ أم قيس وبيلا هنا لا في عجلون/جرش
JO-AZ,الأردن,الزرقاء,—,الزرقاء,—,الزرقاء,أزرق (يُخلط مع الواحة),محافظة+مدينة,32.0728,36.0880,619,1647000,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الوسط؛ 3 ألوية؛ قصر عمرة والأزرق هنا لا المفرق؛ إحداثيات المدينة لا الواحة
JO-MA,الأردن,المفرق,—,المفرق,—,المفرق,المفرق,محافظة+مدينة,32.3417,36.2083,700,663400,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الشمال؛ 26551 كم²؛ الزعتري وأم الجمال هنا
JO-BA,الأردن,البلقاء,—,السلط,—,السلط,البلقاء,محافظة+مدينة,32.0392,35.7272,800,593200,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الوسط؛ المركز السلط؛ المغطس هنا؛ تعداد 2015 كان 491709
JO-MD,الأردن,مأدبا,—,مأدبا,—,مادبا,مأدبا/مادبا,محافظة+مدينة,31.7197,35.7950,770,228200,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الوسط؛ ذيبان هنا لا الكرك؛ تعداد 2015 كان 189192
JO-KA,الأردن,الكرك,—,الكرك,—,الكرك,الكرك/مؤاب,محافظة+مدينة,31.1850,35.7047,930,381900,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الجنوب؛ 7–8 ألوية 🟡؛ تعداد 2015 كان 316629
JO-AT,الأردن,الطفيلة,—,الطفيلة,—,الطفيلة,الطفيلة,محافظة+مدينة,30.8375,35.6044,940,116200,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الجنوب؛ الأقل سكانًا؛ ضانا هنا؛ مساحة 2209 أو 2414 🟡
JO-MN,الأردن,معان,—,معان,—,معان,معان,محافظة+مدينة,30.1962,35.7340,1100,191100,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,أكبر مساحة 32832 كم²؛ البتراء والشوبك والحميمة هنا لا العقبة؛ تعداد 2015 كان 144082
JO-AQ,الأردن,العقبة,—,العقبة,—,العقبة,أيلة,محافظة+مدينة,29.5267,35.0061,10,227000,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الجنوب؛ الميناء؛ وادي رم في القويرة لا معان؛ تعداد 2015 كان 188160
JO-JA,الأردن,جرش,—,جرش,—,جرش,جراسا,محافظة+مدينة,32.2808,35.8997,660,286000,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الشمال؛ أصغر مساحة ~410 كم²؛ لواء واحد؛ تعداد 2015 كان 237059
JO-AJ,الأردن,عجلون,—,عجلون,—,عجلون,عجلون,محافظة+مدينة,32.3326,35.7517,1100,212500,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الشمال؛ قلعة الربض هنا لا جرش؛ تعداد 2015 كان 176080
