id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
AE-AZ,الإمارات,أبوظبي,منطقة أبوظبي,أبوظبي,—,أبوظبي,Abu Dhabi,إمارة+مدينة+عاصمة,24.4539,54.3773,5,4135985,2024,مركز إحصاء أبوظبي SCAD,2024,🟢,إمارة؛ 67340 كم² (~84% u.ae)؛ 3 مناطق: أبوظبي 2823340 / العين 986910 / الظفرة 325735 (2024)
AE-DU,الإمارات,دبي,—,دبي,—,دبي,Dubai,إمارة+مدينة,25.2048,55.2708,5,3860000,2024,مركز دبي للإحصاء (نهاية 2024 عبر تقارير؛ 4.58 م نهاية 2025 وام),2024,🟡,حتا جيب دبي؛ ليست العاصمة الاتحادية؛ 4114 كم²
AE-SH,الإمارات,الشارقة,—,الشارقة,—,الشارقة,Sharjah,إمارة+مدينة,25.3463,55.4209,10,1800000,2022,البوابة الرسمية u.ae,2022,🟢,الخليجان؛ خورفكان وكلباء ودبا الحصن هنا لا الفجيرة؛ 2590 كم²
AE-RK,الإمارات,رأس الخيمة,—,رأس الخيمة,—,رأس الخيمة,Ras Al Khaimah,إمارة+مدينة,25.7895,55.9432,30,345000,—,u.ae (بلا سنة في الصفحة),—,🟡,انضمام 10 فبراير 1972؛ جبل جيس هنا؛ الطنب مطالبة 🟡
AE-FJ,الإمارات,الفجيرة,—,الفجيرة,—,الفجيرة,Fujairah,إمارة+مدينة,25.1288,56.3265,20,,,u.ae (مدن بلا رقم سكان حديث),—,🟡,خليج عمان فقط؛ ليست خورفكان/كلباء/دبا الحصن؛ 1450 كم²
AE-UQ,الإمارات,أم القيوين,—,أم القيوين,—,أم القيوين,Umm Al Quwain,إمارة+مدينة,25.5647,55.5552,10,49159,2005,تعداد 2005 المتداول (لا رقم u.ae حديث),2005,🟡,فلج المعلا هنا؛ مساحة 720 أو 777
AE-AJ,الإمارات,عجمان,—,عجمان,—,عجمان,Ajman,إمارة+مدينة,25.4052,55.5136,10,504846,2017,u.ae,2017,🟢,أصغر مساحة 259 كم²؛ جيبا مصفوت والمنامة (ليست منامة البحرين)
AE-CITY-العين,الإمارات,أبوظبي,—,العين,—,العين,Al ʿAyn,مدينة,24.2075,55.7447,292,986910,2024,SCAD/DSC/جداول مدن متداولة,2024,🟢,سكان **منطقة العين** SCAD 2024 لا نواة البلدة فقط
AE-CITY-مدينةزايد,الإمارات,أبوظبي,—,مدينة زايد,—,مدينة زايد,Madīnat Zāyid,مدينة,23.6520,53.6538,120,29095,تقدير قديم,SCAD/DSC/جداول مدن متداولة,تقدير قديم,🟡,مركز منطقة الظفرة؛ الرقم قديم
AE-CITY-الرويس,الإمارات,أبوظبي,—,الرويس,—,الرويس,Ar-Ruwais,مدينة,24.1103,52.7306,10,,,SCAD/DSC/جداول مدن متداولة,—,🟡,تقديرات 16–40 ألف بلا سنة موحَّدة
AE-CITY-ليوا,الإمارات,أبوظبي,—,ليوا,—,ليوا,Līwā,مدينة,23.1333,53.7667,100,20192,تقدير,SCAD/DSC/جداول مدن متداولة,تقدير,🟡,واحة لا مدينة موحَّدة السور
AE-CITY-دبي,الإمارات,دبي,—,دبي,—,دبي,Dubai,مدينة,25.2048,55.2708,5,3860000,2024,SCAD/DSC/جداول مدن متداولة,2024,🟡,رقم مركز دبي للإحصاء لنهاية 2024 ≈ الإمارة (حتا جيب صغير)
AE-CITY-حتا,الإمارات,دبي,—,حتا,—,حتا,Ḥattā,مدينة,24.7968,56.1144,330,12200,تقدير,SCAD/DSC/جداول مدن متداولة,تقدير,🟡,جيب دبي بين الجبال
AE-CITY-جبلعلي,الإمارات,دبي,—,جبل علي,—,جبل علي,Jebel ʿAlī,مدينة,24.9857,55.0272,5,31634,تقدير,SCAD/DSC/جداول مدن متداولة,تقدير,🟡,منطقة حرة وميناء أكثر منها بلدة قديمة
AE-CITY-الشارقة,الإمارات,الشارقة,—,الشارقة,—,الشارقة,Ash-Shāriqah,مدينة,25.3463,55.4209,10,1270000,تقدير,SCAD/DSC/جداول مدن متداولة,تقدير,🟡,جداول 1.25–1.45 م؛ u.ae ~1.8 م للإمارة 2022
AE-CITY-خورفكان,الإمارات,الشارقة,—,خورفكان,—,خورفكان,Khawr Fakkān,مدينة,25.3397,56.3567,10,39151,تقدير,SCAD/DSC/جداول مدن متداولة,تقدير,🟡,ساحل شرقي — **الشارقة لا الفجيرة**
AE-CITY-كلباء,الإمارات,الشارقة,—,كلباء,—,كلباء,Kalba,مدينة,25.0697,56.3553,5,37545,تقدير,SCAD/DSC/جداول مدن متداولة,تقدير,🟡,جنوب الساحل الشرقي — الشارقة
AE-CITY-دباالحصن,الإمارات,الشارقة,—,دبا الحصن,—,دبا الحصن,Dibba Al-Ḥiṣn,مدينة,25.6186,56.2728,10,12600,تقدير,SCAD/DSC/جداول مدن متداولة,تقدير,🟡,جداول أخرى حتى ~26 ألف 🟡 — ثالثة دبا
