id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
KW-KU,الكويت,العاصمة,—,مدينة الكويت,—,العاصمة,الأصمة/Al Asimah,محافظة+مدينة+عاصمة,29.3759,47.9774,4,574839,,الإدارة المركزية للإحصاء (جدول التعداد حسب المحافظة),,🟡,فيلكا تتبعها؛ بوبيان لا؛ السالمية ليست هنا؛ 175 كم²
KW-HA,الكويت,حولي,—,حولي,—,حولي,Hawalli,محافظة,29.3328,48.0286,15,926170,,CSB جدول التعداد,,🟡,أصغر مساحة 85 كم² وأعلى كثافة؛ السالمية والجابرية هنا
KW-FA,الكويت,الفروانية,—,الفروانية,—,الفروانية,Farwaniyah,محافظة,29.2775,47.9586,20,1109819,,CSB جدول التعداد,,🟡,أكبر سكانًا في الجدول؛ المطار والأفنيوز هنا؛ بلا ساحل
KW-AH,الكويت,الأحمدي,—,الأحمدي,—,الأحمدي,Ahmadi,محافظة,29.0769,48.0839,40,923784,,CSB جدول التعداد,,🟡,البرقان والمصافي والنويصيب والوفرة؛ 5120 كم²
KW-JA,الكويت,الجهراء,—,الجهراء,—,الجهراء,Jahra,محافظة,29.3375,47.6581,30,566861,,CSB جدول التعداد,,🟡,أكبر مساحة 11230–12750؛ بوبيان ووربة والعبدلي؛ ليست النويصيب
KW-MU,الكويت,مبارك الكبير,—,مبارك الكبير,—,مبارك الكبير,Mubarak Al-Kabeer,محافظة,29.2003,48.0883,20,279666,,CSB جدول التعداد,,🟡,مرسوم 290/1999 من حولي؛ صباح السالم والقرين؛ الأقل سكانًا
KW-CITY-حولي,الكويت,حولي,—,حولي,—,حولي,Ḥawallī,مدينة,29.3328,48.0286,15,926170,2021,تعداد 30 يونيو 2021 للمحافظة لا النواة وحدها,2021,🟡,مركز المحافظة؛ ليست العاصمة
KW-CITY-السالمية,الكويت,حولي,—,السالمية,—,السالمية,As-Sālimīyah,مدينة,29.3340,48.0760,5,321190,2024,PACI 2024 عبر صحف (غلف نيوز/عرب تايمز),2024,🟡,أكبر منطقة 2024؛ ليست العاصمة
KW-CITY-الجابرية,الكويت,حولي,—,الجابرية,—,الجابرية,Al-Jābirīyah,مدينة,29.3160,48.0330,15,,,لم أجد رقم منطقة 2021 منفصلًا,2021,🟡,مستشفى مبارك هنا لا في محافظة مبارك
KW-CITY-سلوى,الكويت,حولي,—,سلوى,—,سلوى,Salwā,مدينة,29.2960,48.0840,8,,,لم أجد رقم منطقة 2021 منفصلًا,2021,🟡,ساحل حولي جنوب السالمية
