id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
TN-11,تونس,تونس,—,تونس,—,تونس,ولاية تونس,ولاية+عاصمة,36.8065,10.1815,4,1056247,2014,INS تعداد 2014 (2024: 1075306 🟡),2014,🟢,21 معتمدية؛ قرطاج والعتيقة وباردو هنا؛ 288 كم²
TN-12,تونس,أريانة,—,أريانة,—,أريانة,Ariana,ولاية,36.8625,10.1956,5,576088,2014,INS 2014 (2024: 668552 🟡),2014,🟢,1983؛ 7 معتمديات؛ ليست قرطاج
TN-13,تونس,بن عروس,—,بن عروس,—,بن عروس,Ben Arous,ولاية,36.7531,10.2189,7,631842,2014,INS 2014 (2024: 722828 🟡),2014,🟢,1983؛ أوذنة ورادس هنا
TN-14,تونس,منوبة,—,منوبة,—,منوبة,Manouba,ولاية,36.8081,10.0972,15,379518,2014,INS 2014 (2024: 418354 🟡),2014,🟢,أحدث ولاية 2000
TN-21,تونس,نابل,—,نابل,—,نابل,الوطن القبلي,ولاية,36.4561,10.7376,20,787920,2014,INS 2014 (2024: 863172 🟡),2014,🟢,كركوان يونسكو هنا لا صفاقس؛ الحمامات
TN-22,تونس,زغوان,—,زغوان,—,زغوان,Zaghouan,ولاية,36.4028,10.1428,200,176945,2014,INS 2014 (2024: 201065 🟡),2014,🟢,1976؛ معبد المياه
TN-23,تونس,بنزرت,—,بنزرت,—,بنزرت,Bizerte,ولاية,37.2744,9.8739,5,568219,2014,INS 2014 (2024: 607388 🟡),2014,🟢,إشكل يونسكو؛ أوتيك
TN-31,تونس,باجة,—,باجة,—,باجة,Béja,ولاية,36.7256,9.1817,130,303032,2014,INS 2014 (2024: 311417 🟡),2014,🟢,دقة يونسكو هنا لا الكاف
TN-32,تونس,جندوبة,—,جندوبة,—,جندوبة,Jendouba,ولاية,36.5011,8.7803,140,401477,2014,INS 2014 (2024: 404352 🟡),2014,🟢,طبرقة وبلا ريجيا؛ ليست إشكل
TN-33,تونس,الكاف,—,الكاف,—,الكاف,Le Kef,ولاية,36.1822,8.7147,510,243156,2014,INS 2014 (2024: 237686 🟡),2014,🟢,مائدة يوغرطة؛ مساحة 4965–5081
TN-34,تونس,سليانة,—,سليانة,—,سليانة,Siliana,ولاية,36.0849,9.3708,480,223087,2014,INS 2014 (2024: 216242 🟡),2014,🟢,1974؛ مكثر هنا لا صفاقس
TN-41,تونس,القيروان,—,القيروان,—,القيروان,Kairouan,ولاية,35.6781,10.0963,60,570559,2014,INS 2014 (2024: 600803 🟡),2014,🟢,يونسكو 1988؛ جامع عقبة
TN-42,تونس,القصرين,—,القصرين,—,القصرين,Kasserine,ولاية,35.1676,8.8365,635,439243,2014,INS 2014 (2024: 492741 🟡),2014,🟢,الشعانبي وسبيطلة
TN-43,تونس,سيدي بوزيد,—,سيدي بوزيد,—,سيدي بوزيد,Sidi Bouzid,ولاية,35.0382,9.4849,360,429912,2014,INS 2014 (2024: 489991 🟡),2014,🟢,1973؛ الثورة 17 ديسمبر 2010
TN-51,تونس,سوسة,—,سوسة,—,سوسة,Sousse,ولاية,35.8254,10.6369,7,674971,2014,INS 2014 (2024: 762281 🟡),2014,🟢,يونسكو 1988؛ الجم ليس هنا
TN-52,تونس,المنستير,—,المنستير,—,المنستير,Monastir,ولاية,35.7780,10.8262,5,548828,2014,INS 2014 (2024: 599769 🟡),2014,🟢,1974؛ بورقيبة؛ 13 معتمدية
TN-53,تونس,المهدية,—,المهدية,—,المهدية,Mahdia,ولاية,35.5047,11.0622,8,410812,2014,INS 2014 (2024: 449985 🟡),2014,🟢,الجم يونسكو 1979؛ فاطمية
TN-61,تونس,صفاقس,—,صفاقس,—,صفاقس,Sfax,ولاية,34.7398,10.7600,13,955421,2014,INS 2014 (2024: 1047468 🟡),2014,🟢,قرقنة هنا؛ كركوان ليست هنا
TN-81,تونس,قابس,—,قابس,—,قابس,Gabès,ولاية,33.8815,10.0982,5,374300,2014,INS 2014 (2024: 410847 🟡),2014,🟢,مطماطة هنا لا تطاوين
TN-82,تونس,مدنين,—,مدنين,—,مدنين,Médenine,ولاية,33.3549,10.5055,30,479520,2014,INS 2014 (2024: 537255 🟡),2014,🟢,جربة يونسكو 2023
TN-83,تونس,تطاوين,—,تطاوين,—,تطاوين,Tataouine,ولاية,32.9297,10.4518,260,149453,2014,INS 2014 (2024: 162654 🟡),2014,🟢,أكبر مساحة 38889 كم²
TN-71,تونس,قفصة,—,قفصة,—,قفصة,Gafsa,ولاية,34.4250,8.7842,330,337331,2014,INS 2014 (2024: 388776 🟡),2014,🟢,الحوض المنجمي
TN-72,تونس,توزر,—,توزر,—,توزر,Tozeur,ولاية,33.9197,8.1335,90,107912,2014,INS 2014 (2024: 120036 🟡),2014,🟢,أقل سكانًا؛ الشابي
TN-73,تونس,قبلي,—,قبلي,—,قبلي,Kébili,ولاية,33.7044,8.9690,60,156961,2014,INS 2014 (2024: 183201 🟡),2014,🟢,1981؛ شط الجريد ودوز
